No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean
1,dori cabe garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis rasa pedas gurih rendah minyak,"['jagung', 'nasi merah', 'nasi putih']",dori cabe garam ikan jagung nasi merah nasi putih ikan dori tumis rasa pedas gurih rendah minyak,"jagung, nasi merah, nasi putih"
2,sempol ayam grill,ayam,395,kentang ubi nasi merah nasi putih,ayam olahan panggang tinggi protein snack sehat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",sempol ayam grill ayam kentang ubi nasi merah nasi putih ayam olahan panggang tinggi protein snack sehat,"kentang, ubi, nasi merah, nasi putih"
3,soto ayam spesial,ayam,400,kentang nasi merah nasi putih,soto ayam kuah bening tanpa santan lauk lengkap,"['kentang', 'nasi merah', 'nasi putih']",soto ayam spesial ayam kentang nasi merah nasi putih soto ayam kuah bening tanpa santan lauk lengkap,"kentang, nasi merah, nasi putih"
4,beef yakiniku,sapi,395,jagung nasi merah nasi putih,daging sapi yakiniku tumis sayur saus gurih,"['jagung', 'nasi merah', 'nasi putih']",beef yakiniku sapi jagung nasi merah nasi putih daging sapi yakiniku tumis sayur saus gurih,"jagung, nasi merah, nasi putih"
5,rawon surabaya,sapi,400,kentang nasi merah nasi putih,daging rawon empuk kuah rempah lauk tempe,"['kentang', 'nasi merah', 'nasi putih']",rawon surabaya sapi kentang nasi merah nasi putih daging rawon empuk kuah rempah lauk tempe,"kentang, nasi merah, nasi putih"
6,chicken teriyaki grill,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang saus teriyaki tanpa santan,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",chicken teriyaki grill ayam jagung ubi nasi merah nasi putih ayam panggang saus teriyaki tanpa santan,"jagung, ubi, nasi merah, nasi putih"
7,ayam serundeng,ayam,400,kentang nasi merah nasi putih,ayam bumbu serundeng tumis sayur protein nabati,"['kentang', 'nasi merah', 'nasi putih']",ayam serundeng ayam kentang nasi merah nasi putih ayam bumbu serundeng tumis sayur protein nabati,"kentang, nasi merah, nasi putih"
8,dori saus mentega,ikan,395,ubi nasi merah nasi putih,ikan dori lembut saus mentega gurih tidak pedas,"['ubi', 'nasi merah', 'nasi putih']",dori saus mentega ikan ubi nasi merah nasi putih ikan dori lembut saus mentega gurih tidak pedas,"ubi, nasi merah, nasi putih"
9,chicken curry,ayam,400,kentang nasi merah nasi putih,kari ayam bumbu rempah tanpa santan rendah lemak,"['kentang', 'nasi merah', 'nasi putih']",chicken curry ayam kentang nasi merah nasi putih kari ayam bumbu rempah tanpa santan rendah lemak,"kentang, nasi merah, nasi putih"
10,bola ayam crispy,ayam,390,jagung ubi nasi merah nasi putih,bola daging ayam garing disajikan dengan salad segar,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",bola ayam crispy ayam jagung ubi nasi merah nasi putih bola daging ayam garing disajikan dengan salad segar,"jagung, ubi, nasi merah, nasi putih"
11,cah ayam jamur,ayam,400,jagung nasi merah kentang,tumis ayam dan jamur kaya protein menu klasik,"['jagung', 'nasi merah', 'kentang']",cah ayam jamur ayam jagung nasi merah kentang tumis ayam dan jamur kaya protein menu klasik,"jagung, nasi merah, kentang"
12,chicken patty crispy,ayam,390,kentang nasi merah nasi putih,patty ayam renyah disajikan dengan telur mata sapi,"['kentang', 'nasi merah', 'nasi putih']",chicken patty crispy ayam kentang nasi merah nasi putih patty ayam renyah disajikan dengan telur mata sapi,"kentang, nasi merah, nasi putih"
13,ayam saus wijen,ayam,400,kentang nasi merah nasi putih,ayam tumis dengan saus wijen rasa gurih,"['kentang', 'nasi merah', 'nasi putih']",ayam saus wijen ayam kentang nasi merah nasi putih ayam tumis dengan saus wijen rasa gurih,"kentang, nasi merah, nasi putih"
