No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
1,dori cabe garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis rasa pedas gurih rendah minyak,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori cabe garam ikan dori tumis rasa pedas gurih rendah minyak jagung, nasi merah, nasi putih protein ikan",dori cabe garam ikan dori tumis rasa pedas gurih rendah minyak
2,sempol ayam panggang,ayam,395,kentang ubi nasi merah nasi putih,ayam olahan panggang tinggi protein snack sehat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"sempol ayam panggang ayam olahan panggang tinggi protein snack sehat kentang, nasi merah, nasi putih, ubi protein ayam panggang",sempol ayam panggang ayam olahan panggang tinggi protein snack sehat
3,soto ayam spesial,ayam,400,kentang nasi merah nasi putih,soto ayam kuah bening tanpa santan lauk lengkap,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"soto ayam spesial soto ayam kuah bening tanpa santan lauk lengkap kentang, nasi merah, nasi putih protein ayam",soto ayam spesial soto ayam kuah bening tanpa santan lauk lengkap
4,sapi yakiniku,sapi,395,jagung nasi merah nasi putih,daging sapi yakiniku tumis sayur saus gurih,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sapi yakiniku daging sapi yakiniku tumis sayur saus gurih jagung, nasi merah, nasi putih protein sapi",sapi yakiniku daging sapi yakiniku tumis sayur saus gurih
5,rawon surabaya,sapi,400,kentang nasi merah nasi putih,daging rawon empuk kuah rempah lauk tempe,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"rawon surabaya daging rawon empuk kuah rempah lauk tempe kentang, nasi merah, nasi putih",rawon surabaya daging rawon empuk kuah rempah lauk tempe
6,ayam teriyaki panggang,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang saus teriyaki tanpa santan,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam panggang teriyaki,"ayam teriyaki panggang ayam panggang saus teriyaki tanpa santan jagung, nasi merah, nasi putih, ubi protein ayam panggang teriyaki",ayam teriyaki panggang ayam panggang saus teriyaki tanpa santan
7,ayam serundeng,ayam,400,kentang nasi merah nasi putih,ayam bumbu serundeng tumis sayur protein nabati,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam serundeng ayam bumbu serundeng tumis sayur protein nabati kentang, nasi merah, nasi putih protein ayam",ayam serundeng ayam bumbu serundeng tumis sayur protein nabati
8,dori saus mentega,ikan,395,ubi nasi merah nasi putih,ikan dori lembut saus mentega gurih tidak pedas,"['nasi merah', 'nasi putih', 'ubi']","nasi merah, nasi putih, ubi",protein ikan,"dori saus mentega ikan dori lembut saus mentega gurih tidak pedas nasi merah, nasi putih, ubi protein ikan",dori saus mentega ikan dori lembut saus mentega gurih tidak pedas
9,ayam kari,ayam,400,kentang nasi merah nasi putih,kari ayam bumbu rempah tanpa santan rendah lemak,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam kari kari ayam bumbu rempah tanpa santan rendah lemak kentang, nasi merah, nasi putih protein ayam",ayam kari kari ayam bumbu rempah tanpa santan rendah lemak
10,bola ayam krispi,ayam,390,jagung ubi nasi merah nasi putih,bola daging ayam garing disajikan dengan salad segar,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam,"bola ayam krispi bola daging ayam garing disajikan dengan salad segar jagung, nasi merah, nasi putih, ubi protein ayam",bola ayam krispi bola daging ayam garing disajikan dengan salad segar
