No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
1,Dori Cabe Garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis rasa pedas gurih rendah minyak,"['nasi', 'putih', 'jagung', 'merah']",dori cabe garam ikan jagung nasi merah nasi putih ikan dori tumis rasa pedas gurih rendah minyak,"jagung, nasi merah, nasi putih",dori cabe garam,ikan dori tumis rasa pedas gurih rendah minyak,protein_ikan,dori cabe garam ikan jagung putih nasi merah ikan dori tumis rasa pedas gurih rendah minyak protein_ikan,dori cabe garam ikan dori tumis rasa pedas gurih rendah minyak nasi putih jagung merah protein_ikan,dori cabe garam ikan dori tumis rasa pedas gurih rendah minyak
2,Sempol Ayam Panggang,ayam,395,kentang ubi nasi merah nasi putih,ayam olahan panggang tinggi protein snack sehat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sempol ayam grill ayam kentang ubi nasi merah nasi putih ayam olahan panggang tinggi protein snack sehat,"kentang, ubi, nasi merah, nasi putih",sempol ayam panggang,ayam olahan panggang tinggi protein snack sehat,protein_ayam panggang,sempol ayam panggang ayam kentang putih nasi ubi merah ayam olahan panggang tinggi protein snack sehat protein_ayam,sempol ayam panggang ayam olahan panggang tinggi protein snack sehat nasi merah ubi putih kentang protein_ayam panggang,sempol ayam panggang ayam olahan panggang tinggi protein snack sehat
3,Soto Ayam Spesial,ayam,400,kentang nasi merah nasi putih,soto ayam kuah bening tanpa santan lauk lengkap,"['nasi', 'putih', 'kentang', 'merah']",soto ayam spesial ayam kentang nasi merah nasi putih soto ayam kuah bening tanpa santan lauk lengkap,"kentang, nasi merah, nasi putih",soto ayam spesial,soto ayam kuah bening tanpa santan lauk lengkap,protein_ayam,soto ayam spesial ayam merah putih kentang nasi soto ayam kuah bening tanpa santan lauk lengkap protein_ayam,soto ayam spesial soto ayam kuah bening tanpa santan lauk lengkap nasi putih kentang merah protein_ayam,soto ayam spesial soto ayam kuah bening tanpa santan lauk lengkap
4,Sapi Yakiniku,sapi,395,jagung nasi merah nasi putih,daging sapi yakiniku tumis sayur saus gurih,"['nasi', 'putih', 'jagung', 'merah']",beef yakiniku sapi jagung nasi merah nasi putih daging sapi yakiniku tumis sayur saus gurih,"jagung, nasi merah, nasi putih",sapi yakiniku,daging sapi yakiniku tumis sayur saus gurih,protein_sapi,sapi yakiniku sapi jagung putih nasi merah daging sapi yakiniku tumis sayur saus gurih protein_sapi,sapi yakiniku daging sapi yakiniku tumis sayur saus gurih nasi putih jagung merah protein_sapi,sapi yakiniku daging sapi yakiniku tumis sayur saus gurih
5,Rawon Surabaya,sapi,400,kentang nasi merah nasi putih,daging rawon empuk kuah rempah lauk tempe,"['nasi', 'putih', 'kentang', 'merah']",rawon surabaya sapi kentang nasi merah nasi putih daging rawon empuk kuah rempah lauk tempe,"kentang, nasi merah, nasi putih",rawon surabaya,daging rawon empuk kuah rempah lauk tempe,,rawon surabaya sapi merah putih kentang nasi daging rawon empuk kuah rempah lauk tempe ,rawon surabaya daging rawon empuk kuah rempah lauk tempe nasi putih kentang merah ,rawon surabaya daging rawon empuk kuah rempah lauk tempe
6,Ayam Teriyaki Panggang,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang saus teriyaki tanpa santan,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",chicken teriyaki grill ayam jagung ubi nasi merah nasi putih ayam panggang saus teriyaki tanpa santan,"jagung, ubi, nasi merah, nasi putih",ayam teriyaki panggang,ayam panggang saus teriyaki tanpa santan,protein_ayam panggang teriyaki,ayam teriyaki panggang ayam jagung putih nasi ubi merah ayam panggang saus teriyaki tanpa santan protein_ayam teriyaki,ayam teriyaki panggang ayam panggang saus teriyaki tanpa santan nasi merah ubi putih jagung protein_ayam panggang teriyaki,ayam teriyaki panggang ayam panggang saus teriyaki tanpa santan
7,Ayam Serundeng,ayam,400,kentang nasi merah nasi putih,ayam bumbu serundeng tumis sayur protein nabati,"['nasi', 'putih', 'kentang', 'merah']",ayam serundeng ayam kentang nasi merah nasi putih ayam bumbu serundeng tumis sayur protein nabati,"kentang, nasi merah, nasi putih",ayam serundeng,ayam bumbu serundeng tumis sayur protein nabati,protein_ayam,ayam serundeng ayam merah putih kentang nasi ayam bumbu serundeng tumis sayur protein nabati protein_ayam,ayam serundeng ayam bumbu serundeng tumis sayur protein nabati nasi putih kentang merah protein_ayam,ayam serundeng ayam bumbu serundeng tumis sayur protein nabati
8,Dori Saus Mentega,ikan,395,ubi nasi merah nasi putih,ikan dori lembut saus mentega gurih tidak pedas,"['nasi', 'putih', 'merah', 'ubi']",dori saus mentega ikan ubi nasi merah nasi putih ikan dori lembut saus mentega gurih tidak pedas,"ubi, nasi merah, nasi putih",dori saus mentega,ikan dori lembut saus mentega gurih tidak pedas,protein_ikan,dori saus mentega ikan ubi merah putih nasi ikan dori lembut saus mentega gurih tidak pedas protein_ikan,dori saus mentega ikan dori lembut saus mentega gurih tidak pedas nasi putih merah ubi protein_ikan,dori saus mentega ikan dori lembut saus mentega gurih tidak pedas
9,Ayam Kari,ayam,400,kentang nasi merah nasi putih,kari ayam bumbu rempah tanpa santan rendah lemak,"['nasi', 'putih', 'kentang', 'merah']",chicken curry ayam kentang nasi merah nasi putih kari ayam bumbu rempah tanpa santan rendah lemak,"kentang, nasi merah, nasi putih",ayam kari,kari ayam bumbu rempah tanpa santan rendah lemak,protein_ayam,ayam kari ayam merah putih kentang nasi kari ayam bumbu rempah tanpa santan rendah lemak protein_ayam,ayam kari kari ayam bumbu rempah tanpa santan rendah lemak nasi putih kentang merah protein_ayam,ayam kari kari ayam bumbu rempah tanpa santan rendah lemak
10,Bola Ayam Krispi,ayam,390,jagung ubi nasi merah nasi putih,bola daging ayam garing disajikan dengan salad segar,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",bola ayam crispy ayam jagung ubi nasi merah nasi putih bola daging ayam garing disajikan dengan salad segar,"jagung, ubi, nasi merah, nasi putih",bola ayam krispi,bola daging ayam garing disajikan dengan salad segar,protein_ayam,bola ayam krispi ayam jagung putih nasi ubi merah bola daging ayam garing disajikan dengan salad segar protein_ayam,bola ayam krispi bola daging ayam garing disajikan dengan salad segar nasi merah ubi putih jagung protein_ayam,bola ayam krispi bola daging ayam garing disajikan dengan salad segar
